X,E,XE,X^*,P1,X^*P[1],Y,X^*Y,Y^*,P[2],Y^*P[2],t
757.0,94.0,0.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.0
756.0,93.0,1.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.002031779118418646
755.0,92.0,2.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.026337068256972147
754.0,91.0,3.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.026554021226495143
753.0,90.0,4.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.029579077595377153
752.0,89.0,5.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.034095415785252624
751.0,88.0,6.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.03865480134122545
750.0,87.0,7.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.042008999458567585
749.0,86.0,8.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.042307467678370174
748.0,85.0,9.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.05059627489548596
747.0,84.0,10.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.062354300318649664
746.0,83.0,11.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.08088083981719767
745.0,82.0,12.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.08136033904949742
744.0,81.0,13.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.09777424838519877
743.0,80.0,14.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.11778505562208055
742.0,79.0,15.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.1948732075316382
741.0,78.0,16.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.20610569801734613
740.0,77.0,17.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.23339533194533546
739.0,76.0,18.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.24035115541265686
738.0,75.0,19.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.24845137722061958
737.0,74.0,20.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.26498179138515443
736.0,73.0,21.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.2669526576485658
735.0,72.0,22.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.27030706254501313
734.0,71.0,23.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.2780384747353117
733.0,70.0,24.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.3124533319535589
732.0,69.0,25.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.3247066606340719
731.0,68.0,26.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.326239423783426
730.0,67.0,27.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.3640248071440872
729.0,66.0,28.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.3642102364389491
728.0,65.0,29.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.39047237965107
727.0,64.0,30.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.4122670837117387
726.0,63.0,31.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.4367498294364398
725.0,62.0,32.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.4476313252137351
724.0,61.0,33.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.46392183640423545
723.0,60.0,34.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.48873986828019267
722.0,59.0,35.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.5016025447084483
721.0,58.0,36.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.5324398713226891
720.0,57.0,37.0,0.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.5564116785433698
720.0,58.0,36.0,1.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.5880095734934422
719.0,57.0,37.0,1.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.5902908311363176
718.0,56.0,38.0,1.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.5952909017904161
717.0,55.0,39.0,1.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.5978728316101611
716.0,54.0,40.0,1.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.6144020385412277
715.0,53.0,41.0,1.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.7172482900681857
714.0,52.0,42.0,1.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.7418846432812476
713.0,51.0,43.0,1.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.8368815254369837
712.0,50.0,44.0,1.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.8833288555995626
711.0,49.0,45.0,1.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.8881573664209075
710.0,48.0,46.0,1.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.9026048146315262
709.0,47.0,47.0,1.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.9367540508947062
708.0,46.0,48.0,1.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,0.9938526240446348
708.0,47.0,47.0,2.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.0114650474266302
708.0,48.0,46.0,3.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.065557619213833
707.0,47.0,47.0,3.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.1120324259988985
706.0,46.0,48.0,3.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.1198518763312268
705.0,45.0,49.0,3.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.1374081877592244
704.0,44.0,50.0,3.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.1460405515594965
704.0,45.0,49.0,4.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.1704633482196587
703.0,44.0,50.0,4.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.193891110863279
702.0,43.0,51.0,4.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.2974082810562328
701.0,42.0,52.0,4.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.3466960579329195
700.0,41.0,53.0,4.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.3499307094192523
700.0,42.0,52.0,5.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.4553532931500037
699.0,41.0,53.0,5.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.503402449043579
698.0,40.0,54.0,5.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.5095101017029673
697.0,39.0,55.0,5.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.5255678001644535
696.0,38.0,56.0,5.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.5454822914070516
695.0,37.0,57.0,5.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.579767733908327
694.0,36.0,58.0,5.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.5893851567368324
693.0,35.0,59.0,5.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.6071633910780803
692.0,34.0,60.0,5.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.6336774052437084
691.0,33.0,61.0,5.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.661701200756286
691.0,34.0,60.0,6.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.6918027916887308
690.0,33.0,61.0,6.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.7233567117613247
689.0,32.0,62.0,6.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.7374990214150485
689.0,33.0,61.0,7.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.7497804833770478
688.0,32.0,62.0,7.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.7635157021151275
687.0,31.0,63.0,7.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.8096905524599962
686.0,30.0,64.0,7.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.8119509194117316
685.0,29.0,65.0,7.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.8378790096227802
685.0,30.0,64.0,8.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.8767009992573123
684.0,29.0,65.0,8.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.8977061166529234
683.0,28.0,66.0,8.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.9002434413680802
683.0,29.0,65.0,9.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,1.9872207497744565
683.0,30.0,64.0,10.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.037767722070863
682.0,29.0,65.0,10.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.054212988740353
681.0,28.0,66.0,10.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.081083424526646
680.0,27.0,67.0,10.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.095530753638457
680.0,28.0,66.0,11.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.117842530869722
680.0,29.0,65.0,12.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.140917146332003
680.0,30.0,64.0,13.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.1481701163308076
679.0,29.0,65.0,13.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.1500454963972095
679.0,30.0,64.0,14.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.1566292811288923
678.0,29.0,65.0,14.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.214305803611449
677.0,28.0,66.0,14.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.236023654112322
677.0,29.0,65.0,15.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.2940484417710456
676.0,28.0,66.0,15.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.332348815811531
676.0,29.0,65.0,16.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.4341480736645824
676.0,30.0,64.0,17.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.48699918986623
675.0,29.0,65.0,17.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.48724597152267
674.0,28.0,66.0,17.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.5664793708545055
673.0,27.0,67.0,17.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.621138919361669
673.0,28.0,66.0,18.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.659587662794168
673.0,29.0,65.0,19.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.6671727050313456
672.0,28.0,66.0,19.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.705197154455021
672.0,29.0,65.0,20.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.756069294842678
672.0,30.0,64.0,21.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.8983019479277363
671.0,29.0,65.0,21.0,32.0,0.0,567.0,0.0,0.0,32.0,0.0,2.9239714341312006
671.0,29.0,65.0,20.0,31.0,1.0,567.0,0.0,0.0,32.0,0.0,2.9372540413694614
670.0,28.0,66.0,20.0,31.0,1.0,567.0,0.0,0.0,32.0,0.0,2.9462378721693523
670.0,29.0,65.0,21.0,31.0,1.0,567.0,0.0,0.0,32.0,0.0,2.9551608067204125
670.0,30.0,64.0,22.0,31.0,1.0,567.0,0.0,0.0,32.0,0.0,2.9748392245302164
670.0,31.0,63.0,23.0,31.0,1.0,567.0,0.0,0.0,32.0,0.0,3.009170404312954
669.0,30.0,64.0,23.0,31.0,1.0,567.0,0.0,0.0,32.0,0.0,3.036946891938243
668.0,29.0,65.0,23.0,31.0,1.0,567.0,0.0,0.0,32.0,0.0,3.0980705862993063
668.0,30.0,64.0,24.0,31.0,1.0,567.0,0.0,0.0,32.0,0.0,3.1247831039508407
667.0,29.0,65.0,24.0,31.0,1.0,567.0,0.0,0.0,32.0,0.0,3.1320358608574725
666.0,28.0,66.0,24.0,31.0,1.0,567.0,0.0,0.0,32.0,0.0,3.1466156438415647
665.0,27.0,67.0,24.0,31.0,1.0,567.0,0.0,0.0,32.0,0.0,3.2107684250820117
665.0,28.0,66.0,25.0,31.0,1.0,567.0,0.0,0.0,32.0,0.0,3.2228481083133724
665.0,29.0,65.0,26.0,31.0,1.0,567.0,0.0,0.0,32.0,0.0,3.2443933732418833
665.0,30.0,64.0,27.0,31.0,1.0,567.0,0.0,0.0,32.0,0.0,3.277462184753768
664.0,29.0,65.0,27.0,31.0,1.0,567.0,0.0,0.0,32.0,0.0,3.2797543057400165
663.0,28.0,66.0,27.0,31.0,1.0,567.0,0.0,0.0,32.0,0.0,3.286138071149271
662.0,27.0,67.0,27.0,31.0,1.0,567.0,0.0,0.0,32.0,0.0,3.3542007839264163
661.0,26.0,68.0,27.0,31.0,1.0,567.0,0.0,0.0,32.0,0.0,3.3738982955839334
661.0,27.0,67.0,28.0,31.0,1.0,567.0,0.0,0.0,32.0,0.0,3.3765751867774205
660.0,26.0,68.0,28.0,31.0,1.0,567.0,0.0,0.0,32.0,0.0,3.378432990876695
660.0,27.0,67.0,29.0,31.0,1.0,567.0,0.0,0.0,32.0,0.0,3.3961706136981156
659.0,26.0,68.0,29.0,31.0,1.0,567.0,0.0,0.0,32.0,0.0,3.4007173889064086
659.0,27.0,67.0,30.0,31.0,1.0,567.0,0.0,0.0,32.0,0.0,3.426318044770251
